# Phi_st Means
	11CO	12AZ	15TX	16TX	18TX	19TX	1WY	20NM	21NM	26NM	27NM	28NM	2CO	31NV	32UT	33NV	34UT	37CR	38CR	39CR	41CR	43GR	44GR	46CH	47TX	49TX	4CO	50TX	51TX	52TX	5CO	6KS	8OK	CARINA_LAB	SUB_LAB
27NM												0.342184	0.649887	0.640046	0.605795	0.649086	0.62994	0.586153	0.622121	0.615861	0.581501	0.581931	0.551114	0.591917	0.0634673	0.0411207	0.663387	0.00338685	0.0173163	0.0223943	0.623076	0.234785	0.296473	0.30406	0.0616206
28NM													0.282349	0.202926	0.265825	0.211921	0.255107	0.375395	0.471791	0.473242	0.421001	0.46516	0.380913	0.280763	0.350429	0.379931	0.228732	0.322463	0.357394	0.369874	0.263738	0.151362	0.336676	0.330807	0.368352
2CO														0.0997687	0.0796408	0.0896037	0.071643	0.775156	0.799861	0.788441	0.751863	0.755161	0.706749	0.0410893	0.676215	0.702678	0.0262859	0.775306	0.749811	0.738526	0.0222296	0.622061	0.707214	0.765414	0.787391
31NV															0.0339888	0.00631151	0.0130579	0.732587	0.783008	0.778397	0.730031	0.739528	0.673471	0.0674138	0.670197	0.702665	0.0727534	0.75429	0.735908	0.731421	0.0485405	0.544361	0.692147	0.75598	0.778913
32UT																0.00709329	0.0060529	0.714505	0.740285	0.738621	0.693151	0.715297	0.658313	0.0647926	0.629121	0.655794	0.0776285	0.709539	0.684625	0.688127	0.0533012	0.578084	0.656525	0.710632	0.720018
33NV																	0.00631027	0.747413	0.793696	0.785658	0.734919	0.755471	0.682178	0.0557188	0.672362	0.710226	0.0655164	0.76667	0.741092	0.742537	0.0465654	0.558898	0.696625	0.760902	0.782655
34UT																		0.727197	0.758248	0.750263	0.713015	0.724423	0.667973	0.0597742	0.652594	0.679202	0.0691626	0.72981	0.711246	0.705093	0.0411964	0.580335	0.675978	0.733549	0.743948
37CR																			0.166126	0.0924069	0.121812	0.273259	0.17489	0.708768	0.605808	0.648727	0.765565	0.669452	0.667308	0.674521	0.741866	0.388457	0.602748	0.64403	0.706996
38CR																				0.0366312	0.106037	0.250096	0.215385	0.744305	0.619913	0.662015	0.791883	0.720654	0.698049	0.70188	0.767713	0.436543	0.623335	0.674505	0.748566
39CR																					0.0866624	0.231635	0.193533	0.731666	0.613412	0.650865	0.77869	0.697182	0.685793	0.677251	0.757694	0.440874	0.612264	0.649839	0.713166
41CR																						0.188314	0.164479	0.692744	0.582945	0.622388	0.742408	0.646401	0.640482	0.641191	0.71536	0.417073	0.588619	0.629735	0.677914
43GR																							0.0907718	0.705464	0.584481	0.616957	0.746524	0.645728	0.633013	0.639126	0.723013	0.430091	0.580097	0.616093	0.672331
44GR																								0.647532	0.563493	0.59371	0.695246	0.597598	0.606168	0.613464	0.68175	0.396853	0.554927	0.583878	0.633292
46CH																									0.623808	0.646813	0.0432675	0.706405	0.67919	0.672902	0.0372647	0.57654	0.654685	0.707566	0.716882
47TX																										0.020604	0.686005	0.0103988	0.0446545	0.0229504	0.648099	0.257044	0.327993	0.329569	0.0559347
49TX																											0.720355	0.00943219	0.0233172	0.0138496	0.668911	0.290768	0.349612	0.363443	0.0619103
4CO																												0.777789	0.757447	0.754431	0.0177901	0.589041	0.708669	0.76858	0.797721
50TX																													0.00567233	0.00602109	0.730686	0.215919	0.375235	0.416881	0.0839357
51TX																														0.0222448	0.707661	0.254751	0.370928	0.381068	0.0785816
52TX																															0.702882	0.272144	0.36888	0.394181	0.080839
5CO																																0.592284	0.676584	0.732703	0.741947
6KS																																	0.116323	0.117921	0.270005
8OK																																		0.127182	0.404942
CARINA_LAB																																			0.436055

# Fst' Means
	11CO	12AZ	15TX	16TX	18TX	19TX	1WY	20NM	21NM	26NM	27NM	28NM	2CO	31NV	32UT	33NV	34UT	37CR	38CR	39CR	41CR	43GR	44GR	46CH	47TX	49TX	4CO	50TX	51TX	52TX	5CO	6KS	8OK	CARINA_LAB	SUB_LAB
11CO		0.00817618	0.553659	0.600687	0.487591	0.601795	0.0340098	0.616882	0.609239	0.571436	0.597967	0.150421	0.041717	0.00966965	0.0117764	0.00394749	0.0104712	0.676577	0.743658	0.733688	0.681996	0.699729	0.614489	0.0297931	0.627066	0.65487	0.0383162	0.712372	0.695679	0.693124	0.0173601	0.498755	0.643202	0.699142	0.733408
12AZ			0.544978	0.583005	0.474033	0.588367	0.0474949	0.603479	0.598198	0.556479	0.581843	0.150413	0.0408124	0.0131805	0.00675387	0.00446535	0.00446546	0.660417	0.724634	0.715579	0.662001	0.679308	0.60005	0.0378383	0.61156	0.638055	0.0443653	0.691252	0.674697	0.674569	0.0267171	0.48732	0.631437	0.688519	0.70959
15TX				0.353936	0.166615	0.070672	0.566209	0.189319	0.196698	0.154852	0.188898	0.234934	0.572829	0.567759	0.538232	0.57788	0.55191	0.444496	0.471615	0.449607	0.444742	0.407888	0.399369	0.521505	0.219401	0.224216	0.582225	0.220354	0.214944	0.219227	0.550763	0.0652748	0.0443402	0.0854239	0.246702
16TX					0.344303	0.42026	0.628595	0.468937	0.456429	0.424514	0.459384	0.33884	0.616962	0.612382	0.575026	0.611285	0.589789	0.0765249	0.0782073	0.0273723	0.0765033	0.126483	0.14385	0.579431	0.463529	0.478679	0.618443	0.521782	0.510679	0.508653	0.593751	0.304308	0.44644	0.490954	0.542491
18TX						0.152958	0.507066	0.0622134	0.0478071	0.0670187	0.0500585	0.138218	0.513459	0.49995	0.466251	0.500829	0.481325	0.400399	0.435624	0.427953	0.401219	0.40155	0.374225	0.45274	0.0420114	0.0451328	0.516468	0.0379336	0.0519298	0.0391508	0.483289	0.112784	0.190167	0.18645	0.0559724
19TX							0.632869	0.242094	0.229504	0.200561	0.221503	0.211583	0.626922	0.617207	0.579132	0.624547	0.596686	0.503747	0.546322	0.528943	0.508168	0.503814	0.460566	0.570648	0.232458	0.2517	0.632197	0.275205	0.272634	0.268543	0.601878	0.020337	0.0514811	0.0794296	0.302109
1WY								0.628422	0.629195	0.578882	0.609054	0.157931	0.0237175	0.0487206	0.0458467	0.0469184	0.0354341	0.723148	0.785184	0.77189	0.719241	0.733906	0.651273	0.0122541	0.641676	0.676916	0.0116784	0.745403	0.722643	0.718167	0.0232889	0.523303	0.674603	0.733234	0.77058
20NM									0.0276322	0.0119737	0.0233001	0.264996	0.633763	0.63654	0.589064	0.643381	0.614922	0.532968	0.608181	0.584352	0.535241	0.537007	0.481455	0.566261	0.0446478	0.0408464	0.648871	0.0138835	0.02231	0.0155943	0.605997	0.159501	0.266331	0.268688	0.0552388
21NM										0.0340463	0.0179195	0.247113	0.632051	0.631666	0.581917	0.632739	0.604632	0.534636	0.598932	0.573366	0.531274	0.527915	0.486457	0.561242	0.0505725	0.0411931	0.647236	0.00989388	0.0303156	0.0260858	0.59973	0.158955	0.253966	0.268517	0.0465779
26NM											0.0225676	0.247609	0.585417	0.587025	0.54583	0.591359	0.567193	0.485064	0.542561	0.524349	0.481241	0.487157	0.445027	0.522668	0.0604504	0.0484831	0.599863	0.016229	0.0223861	0.0200976	0.557163	0.140846	0.212378	0.221177	0.0548816
27NM												0.254381	0.612429	0.613629	0.566769	0.619957	0.590486	0.525618	0.582369	0.568205	0.528928	0.520511	0.477994	0.545726	0.0455564	0.020512	0.631458	0.00807381	0.0105216	0.0112721	0.586111	0.154424	0.246754	0.259973	0.043246
28NM													0.162288	0.151499	0.152975	0.150654	0.152971	0.344374	0.428746	0.418967	0.36875	0.399108	0.322595	0.145827	0.244571	0.258625	0.155917	0.276945	0.283204	0.27221	0.153951	0.13181	0.259575	0.271813	0.286408
2CO														0.0538714	0.0499374	0.0505971	0.0387119	0.703644	0.774901	0.761346	0.711663	0.720982	0.640643	0.0261193	0.646554	0.675547	0.011994	0.743668	0.723547	0.715758	0.013359	0.520739	0.670797	0.729376	0.765159
31NV															0.0202648	0.0012305	-0.000154119	0.693071	0.76498	0.757914	0.703648	0.71848	0.635039	0.036798	0.64424	0.674744	0.0440703	0.733879	0.714877	0.708323	0.0267436	0.509605	0.665902	0.728729	0.754898
32UT																0.00420362	0.00277948	0.649336	0.716249	0.710011	0.655721	0.679949	0.59627	0.0417974	0.596096	0.62444	0.0473738	0.678935	0.658447	0.659949	0.0310528	0.482782	0.620508	0.676265	0.695798
33NV																	0.00357484	0.69958	0.774232	0.765214	0.707574	0.729741	0.639811	0.0376239	0.645924	0.6815	0.0405242	0.744742	0.719593	0.719891	0.0243918	0.512844	0.669545	0.732227	0.761512
34UT																		0.665946	0.734787	0.723897	0.67633	0.693483	0.60997	0.0326921	0.619402	0.647907	0.040693	0.701459	0.684717	0.679967	0.0209789	0.49477	0.639781	0.69841	0.719673
37CR																			0.131043	0.0566953	0.0826131	0.204429	0.127729	0.6433	0.549866	0.573538	0.711849	0.619708	0.60587	0.6021	0.675796	0.36843	0.543622	0.587724	0.638463
38CR																				0.028981	0.0934707	0.200556	0.177534	0.715239	0.591498	0.627516	0.77385	0.693134	0.670742	0.671855	0.74402	0.397478	0.589537	0.63933	0.718544
39CR																					0.0708036	0.184019	0.153965	0.699737	0.579704	0.610981	0.759425	0.667111	0.65587	0.644279	0.731031	0.389471	0.578211	0.617317	0.686566
41CR																						0.141639	0.124087	0.65094	0.543596	0.570245	0.713703	0.61041	0.6008	0.596462	0.679917	0.373175	0.54708	0.592465	0.637774
43GR																							0.0593517	0.66782	0.538088	0.564541	0.722367	0.609988	0.594444	0.595682	0.692305	0.366417	0.532815	0.57843	0.633463
44GR																								0.584365	0.497058	0.512906	0.645187	0.547846	0.541901	0.54077	0.620316	0.344505	0.490305	0.530184	0.570193
46CH																									0.581692	0.607679	0.029967	0.669398	0.645201	0.639338	0.024623	0.470904	0.611859	0.66637	0.684377
47TX																										0.0117019	0.660621	0.0134554	0.0386017	0.0133331	0.617164	0.156464	0.276707	0.28417	0.0404036
49TX																											0.692481	0.00964207	0.0161397	0.00899856	0.640965	0.166017	0.289888	0.305276	0.0486829
4CO																												0.754997	0.734914	0.732038	0.0115433	0.528497	0.680282	0.739696	0.77629
50TX																													0.00489264	-0.00149068	0.702566	0.165884	0.332565	0.370578	0.0485681
51TX																														0.0144224	0.682969	0.174167	0.325755	0.333883	0.0568384
52TX																															0.679013	0.169549	0.31474	0.337369	0.0580794
5CO																																0.497332	0.641414	0.698499	0.719768
6KS																																	0.0516867	0.0632755	0.183794
8OK																																		0.101378	0.361496
CARINA_LAB																																			0.383528

# Dxy Means
	11CO	12AZ	15TX	16TX	18TX	19TX	1WY	20NM	21NM	26NM	27NM	28NM	2CO	31NV	32UT	33NV	34UT	37CR	38CR	39CR	41CR	43GR	44GR	46CH	47TX	49TX	4CO	50TX	51TX	52TX	5CO	6KS	8OK	CARINA_LAB	SUB_LAB
11CO		0.000339613	0.000803439	0.000843955	0.000777512	0.000840257	0.000366717	0.000841373	0.000866544	0.000826674	0.000841232	0.000522431	0.000362682	0.000371333	0.000348003	0.000382001	0.000353501	0.000911317	0.00090053	0.000909427	0.000888717	0.000878582	0.000877092	0.000363254	0.00086775	0.000887261	0.000382104	0.000920425	0.000901597	0.000907368	0.000354574	0.000778796	0.000855046	0.000898546	0.000922405
12AZ			0.000797826	0.000849165	0.000768314	0.000837348	0.000316626	0.000834884	0.000858788	0.000816234	0.000828345	0.000497989	0.000299187	0.000320249	0.000309093	0.00032852	0.000313605	0.000912055	0.000912483	0.00091372	0.000897151	0.000883916	0.000887732	0.000297862	0.000852298	0.000870386	0.000334347	0.000890315	0.000879022	0.000897182	0.000317621	0.000758677	0.000848375	0.0008956	0.000913723
15TX				0.000754897	0.000526387	0.00045329	0.000829984	0.00055356	0.000574428	0.000549803	0.000556413	0.000607405	0.000827924	0.000815604	0.00080002	0.000807979	0.000799077	0.000803081	0.000814874	0.000781451	0.000814473	0.000751088	0.000785891	0.000822641	0.0005438	0.000561696	0.000820234	0.000571974	0.000576394	0.000594685	0.000817984	0.00044384	0.000469905	0.000485191	0.000613717
16TX					0.000741132	0.000776139	0.000878051	0.000816744	0.000820861	0.000803758	0.000813924	0.000760712	0.000867808	0.000857993	0.000835352	0.000849156	0.000831771	0.000457375	0.000445432	0.000399465	0.000458306	0.000475272	0.000491901	0.000855958	0.000799874	0.000820089	0.000856711	0.000860385	0.000843972	0.000836038	0.000842926	0.000702635	0.000796782	0.000833585	0.000857085
18TX						0.000590053	0.000818614	0.000419101	0.00042542	0.000434834	0.000410037	0.000637882	0.000819855	0.000794033	0.000780061	0.000789502	0.00077905	0.000789055	0.000767473	0.000752694	0.00077921	0.00074239	0.000772507	0.000801906	0.000432924	0.000421649	0.000814626	0.00041779	0.00043954	0.000462364	0.000801011	0.000592137	0.000587692	0.000608819	0.000454714
19TX							0.000888762	0.000585235	0.000593528	0.000557774	0.000584832	0.000647608	0.000886431	0.000868143	0.000850582	0.000848171	0.000845186	0.000820279	0.000825973	0.000816095	0.0008118	0.00079551	0.000783722	0.000886157	0.000614542	0.000634327	0.000867073	0.000677801	0.000660837	0.000664582	0.00086495	0.000464789	0.000496489	0.000518466	0.00069856
1WY								0.000875552	0.000901302	0.000856819	0.000871464	0.00053009	0.000357951	0.000379235	0.00030886	0.000379559	0.000327713	0.000960299	0.00095372	0.000959419	0.000941811	0.000928321	0.000926991	0.000323806	0.000908043	0.000925101	0.000379373	0.000955525	0.00094277	0.000951043	0.000328242	0.000801789	0.000896512	0.00095221	0.000976896
20NM									0.000379647	0.000394555	0.00035148	0.000627733	0.000878301	0.00086259	0.000839359	0.000853105	0.000843051	0.000855058	0.000876436	0.000852632	0.00085714	0.000819394	0.000817071	0.000859388	0.000368732	0.000351957	0.000868124	0.000370498	0.000378147	0.000414226	0.000859521	0.000525143	0.000631104	0.000648025	0.000414898
21NM										0.000397855	0.000375943	0.000635543	0.000904294	0.000882974	0.000863609	0.000876773	0.00086456	0.000876405	0.000891133	0.000866755	0.000858635	0.000841082	0.000825522	0.000879545	0.000392402	0.000390698	0.00089573	0.00039973	0.000431403	0.000443897	0.000879878	0.000550415	0.000650677	0.000655788	0.000448237
26NM											0.000390522	0.000629549	0.000858664	0.000843393	0.000824104	0.000836058	0.000824723	0.000835984	0.000854881	0.000829303	0.000834168	0.000805733	0.000798372	0.000847648	0.000387406	0.00037815	0.000849837	0.000388154	0.000407943	0.000432273	0.000844117	0.000528432	0.000604471	0.000606408	0.000447305
27NM												0.000621973	0.000873084	0.000854779	0.000835324	0.000853971	0.000837464	0.000855626	0.000878077	0.000857249	0.000853053	0.00081431	0.00082412	0.000849567	0.000359299	0.000351318	0.000864698	0.000355607	0.000384016	0.000415496	0.000853996	0.000525014	0.000631948	0.000641768	0.000419261
28NM													0.00051353	0.000509675	0.000507508	0.000519337	0.000495426	0.00077509	0.000786013	0.000764947	0.000791899	0.000741989	0.000782159	0.000514714	0.000624639	0.000619702	0.000532488	0.000613971	0.000628924	0.000647815	0.000526174	0.000606517	0.000639265	0.0006609	0.000646897
2CO														0.000353067	0.000288133	0.000361125	0.000314938	0.000947305	0.000940529	0.00094707	0.000932623	0.000914103	0.000917626	0.000270125	0.000904661	0.000919103	0.000366972	0.000938753	0.000928826	0.000946303	0.000309208	0.000795872	0.000895523	0.000945154	0.000970284
31NV															0.000327724	0.000362007	0.000337171	0.000932896	0.000938344	0.000940192	0.000920107	0.000909239	0.000904486	0.000316514	0.000882215	0.000906476	0.000382791	0.000922767	0.000919377	0.000926728	0.000331562	0.000781874	0.000881199	0.000932799	0.000952956
32UT																0.000344304	0.000313813	0.000895258	0.000897561	0.00089813	0.000885894	0.00086299	0.000872116	0.000292795	0.000861619	0.000869371	0.000339371	0.000887131	0.000874828	0.000891978	0.000298592	0.000767005	0.000854827	0.000894455	0.000905253
33NV																	0.000353862	0.000922579	0.000918602	0.000921798	0.000900573	0.000896599	0.000884326	0.000348743	0.000888158	0.000909942	0.00037876	0.000938032	0.000919515	0.000923568	0.00034179	0.000780635	0.000866021	0.000913047	0.000940151
34UT																		0.000898024	0.000902532	0.000900858	0.000889773	0.000878589	0.000877907	0.000302827	0.000863742	0.000879895	0.000348841	0.000896801	0.000889392	0.00090234	0.000314317	0.000763231	0.000855694	0.000900129	0.000916557
37CR																			0.000516389	0.000506435	0.000500545	0.000566199	0.000544255	0.000920465	0.000863472	0.000882154	0.000937307	0.000922647	0.000899136	0.00088828	0.000916044	0.000737657	0.000846923	0.000872859	0.000913022
38CR																				0.000520136	0.000483096	0.000605101	0.000535921	0.000918814	0.000873445	0.000901239	0.000916308	0.000957359	0.000939435	0.000914717	0.000909457	0.000744015	0.000864435	0.000895229	0.000950417
39CR																					0.000497748	0.000582463	0.000538227	0.000927806	0.000848967	0.000875727	0.000926593	0.000923195	0.000910147	0.000888788	0.00091459	0.000709284	0.000851674	0.000877366	0.000916887
41CR																						0.000546506	0.000503676	0.000911647	0.000865278	0.000875907	0.000906257	0.000922485	0.000901777	0.000874999	0.000896395	0.000747801	0.000847427	0.000866202	0.000911697
43GR																							0.000469691	0.000897441	0.000832116	0.000855579	0.0008979	0.000880945	0.000866914	0.00086551	0.000889723	0.000689767	0.00081206	0.00084531	0.000893285
44GR																								0.000908505	0.000841402	0.000851423	0.000895285	0.000884961	0.000877573	0.00084618	0.000890599	0.000732108	0.000808207	0.000823497	0.000860004
46CH																									0.000872993	0.000880228	0.000327406	0.000897204	0.000889509	0.000910483	0.000292764	0.000783495	0.000882994	0.000933835	0.000930012
47TX																										0.000389668	0.000904637	0.000408411	0.000428957	0.000454251	0.000879316	0.000535761	0.000656397	0.000681779	0.000454561
49TX																											0.000924903	0.000424839	0.000427232	0.000469279	0.000900835	0.000518598	0.000672362	0.000698074	0.000468614
4CO																												0.000952268	0.000938294	0.000938803	0.000342345	0.000799377	0.000887526	0.000935343	0.000964983
50TX																													0.000449663	0.000500032	0.000919876	0.000499803	0.000707678	0.000777007	0.000484002
51TX																														0.000491511	0.000906411	0.000514521	0.000697849	0.000724674	0.000485573
52TX																															0.000920575	0.000550135	0.000697476	0.000725307	0.000514094
5CO																																0.000779192	0.000876089	0.00092185	0.000938829
6KS																																	0.000431518	0.000461464	0.000553037
8OK																																		0.000534504	0.000755199
CARINA_LAB																																			0.000777352
