SpeciesCode,HybridatRelease,State,Year,CageorField,Beetle Source,Date of introduction,Eggs,Larvae,Pupae,Adults,Total Release Size,Species,Origin,Location,,FullLocation,County,GPS-Lat,GPS-Long,Tamarisk species,Scientist ,Monitored,Established,HybridEstab,Publications ,Notes
DE,N,CA,2009,Field,"Albany Quarantine-assume D elongata-eggs, larvae and adults",6/15/2009,,,,,1500,elongata,Crete,Lost Hills,,"Paramount Farn, n, of pistachio orchard, irrigation ditch",Kern,35.79789,-119.79564,ramosissima,B. Villegas,Y,N,N,Pratt et al. 2018,Pers. comm M. Pitcairn 2017
DE,N,CA,2009,Field,"Albany Quarantine-assume D elongata-eggs, larvae and adults",6/15/2009,,,,,4000,elongata,Crete,Pope Creek,,"Pope Creek, Pope Canyon Rd, three release sites very close together",Napa,38.63747,-122.34618,parviflora,B. Villegas,Y,Y,N,Pratt et al. 2018,Pers. comm M. Pitcairn 2017
DE,N,CA,2009,Field,Cache Creek sites,9/15/2009, , , , ,3000,elongata,Crete,Warthen Canyon,,"Three sites. Hwy 198. Parkfield Grade and Mineral Springs Rd., near river crossing, near Coalinga",Fresno,36.10181,-120.52259,ramosissima,B. Villegas,Y,N,N,Pratt et al. 2018,Pers. comm M. Pitcairn 2017
DCR,N,CO,1999,Cage,Albany colony,July or Aug 1999,,,,,,carinulata,Fukang,Pueblo,,BOR land,,,,,,Y,Y,N,Carruthers et al. 2008,
DCR,N,CO,2001,Field,Other field site cages,5/2001-8/2001,,?,,6900,6900,carinulata,Fukang,Pueblo,,BOR land,,,,,,Y,Y,N,Carruthers et al. 2008,
DCR,N,NM,2005,Field,?,?2005,,,,,0,carinulata,Fukang,Artesia,,Hucy and Pollard sites,,,,ramosissima x chinensis,D. Thompson and K. Gardner,Y,Y,N,,"DeLoach et al unpubl. CDRI Symposium Proc. Fukang beetles did well in cage in 2004, released in field 2005. Decline in field popltn by 2007, reasons uncertain"
DE,N,NM,2003,Field,USDA-ARS Temple colonies or Albany,8/28/2003,,,,,0,elongata,Crete,Artesia,,Hucy and Pollard sites,,,,ramosissima x chinensis,D. Thompson and K. Gardner,Y,N,N,,DeLoach et al unpubl. CDRI Symposium Proc. Grasshopper outbreak and herbicide treatment of SC prevented establishment
DE,N,NM,2004,Cage,USDA-ARS Temple colonies or Albany,?2004,,,,,0,elongata,Crete,Artesia,,Hucy and Pollard sites,,,,ramosissima x chinensis,D. Thompson and K. Gardner,Y,N,N,,DeLoach et al unpubl. CDRI Symposium Proc. Crete beetles did not do well in cage
DE,N,NM,2004,Cage,USDA-ARS Temple colonies or Albany,?2004,,,,,0,elongata,Posidi,Artesia,,Hucy and Pollard sites,,,,ramosissima x chinensis,D. Thompson and K. Gardner,Y,N,N,,DeLoach et al unpubl. CDRI Symposium Proc. Posidi beetles did not do well in cage
DE,N,NM,2005?,Field,?,?2005,,,,,0,elongata,Crete,Brantley WMA,,"Brantley WMA, NM",,,,ramosissima x chinensis,"S. O'Meara, BOR",Y,Y,N,,DeLoach et al unpubl. CDRI Symposium Proc. DeLoach uncertain about year. Establishment reported as weak due to flooding from Pecos River
DCR,N,NV,1999,Cage,Albany colony,July or Aug 1999,,,,,,carinulata,Fukang,Lovelock,,Private farm,,,,,,Y,Y,N,Carruthers et al. 2008,
DCR,N,NV,1999,Cage,Albany colony,July or Aug 1999,,,,,,carinulata,Fukang,Schurz,,Paiute Tribal lands,,,,,,Y,Y,N,Carruthers et al. 2008,
DCR,N,NV,2000,Cage,?Other field cage sites,May-00,,,,,,carinulata,Fukang,Fallon,,Stillwater NWR,,,,,,Y,N,N,Carruthers et al. 2008,
DCR,N,NV,2001,Field,Other field site cages,5/2001-8/2001,,,,1400,1400,carinulata,Fukang,Lovelock,,Private farm,,,,,,Y,Y,N,Carruthers et al. 2008,
DCR,N,NV,2001,Field,Other field site cages,5/2001-8/2001, ,,,3500,3500,carinulata,Fukang,Schurz,,Paiute Tribal lands,,,,,,Y,Y,N,Carruthers et al. 2008,
DCA,N,TX,2006,Field,USDA-ARS Temple TX,6/30/2006,300,0,0,0,300,carinata,Uzbek,Borger,,"Jones Ranch, Borger",Hutchinson,35.72940,-101.41260,ramosissima x chinensis,J. Michels and state people,Y,N,N,Michels et al. 2013,
DCA,N,TX,2008,Field,Colorado-field,7/31/2008,8,344,0,168,520,carinata,Uzbek,Gail,,Tobacco Creek,Borden,32.77038,-101.44541,ramosissima x chinensis,A. Knutson,Y,N,N,Knutson et al 2012; Michels et al. 2013, 
DCA,N,TX,2008,Field,Probably CO-Palisades Insectary,5/19/2008,0,0,0,1000,1000,carinata,Uzbek,Lake Seymour,,Lake Seymour,Baylor,33.70927,-99.27640,ramosissima x chinensis,J. DeLoach and C. Randal (APHIS),Y,N,N,Knutson et al 2012,"Table from DeLoach from 2010 indicates no establishment. Knutson et al 2012 states defoliation seen 2008. DCA came out too early in Feb 2009, died in subsequent freezes, no beetles seen in 2009 , 2010"
DCA,N,TX,2008,Cage,Colorado-field,4/24/2008,500,0,0,100,600,carinata,Uzbek,MWMA,,Matador WMA,Cottle,34.15949,-100.37387,ramosissima x chinensis,J .Michels and state people,Y,Y,DCADE,Michels et al. 2013, 
DCA,N,TX,2008,Field,USDA-ARS Temple and New Mexico,7/11/2008,21,0,0,298,319,carinata,Uzbek,MWMA,,Matador WMA,Cottle,34.15949,-100.37387,ramosissima x chinensis,J. Michels and state people,Y,Y,DCADE,Michels et al. 2013, 
DCA,N,TX,2008,Field,?,6/11/2008,0,0,0,200,200,carinata,Uzbek,Paducah,,Paducah,Motley,34.06428,-100.86489,ramosissima x chinensis,DeLoach and TX Parks and Wildlife,Y,Y,DCADE,,"Same region as Michels et al 2013, probably got hybridized later. Table from DeLoach from 2010 indicates weak establishment"
DCA,N,TX,2008,Field,"Colorado-Palisades Insectary then briefly at Seymour, TX",7/31/2008,8,344,0,168,520,carinata,Uzbek,Roaring Springs,,Roaring Springs,Motley,33.86000,,ramosissima x chinensis,J. Michels and state people,Y,Y,N,Knutson et al 2012; Michels et al. 2013,"Table from DeLoach from 2010 indicates no establishment, as does Knutson et al 2012,  but Michels et al. 2013 contradicts that-established"
DCA,N,TX,2008,Field,"Colorado-Palisades Insectary then briefly at Seymour, TX",7/31/2008,8,344,0,168,520,carinata,Uzbek,Rotan,,Rotan,Fisher,33.86825,-100.82708,ramosissima x chinensis,A. Knutson,Y,N,N,Knutson et al 2012;Michels et al. 2013,
DCA,N,TX,2009,Field,"Colorado-Palisades Insectary then briefly at Seymour, TX",7/1/2009,0,120,0,152,272,carinata,Uzbek,Gail,,Tobacco Creek,Borden,32.77038,-101.44541,ramosissima x chinensis,J. DeLoach and TAMU A. Knutson,Y,N,N,Knutson et al 2012;Michels et al. 2013,"Knutson et al states that DCA did well in cages and overwintered well in cups, but came out earlier than DE and died in late-winter freezes in Feb-March, no estab."
DCA,N,TX,2009,Field,Colorado-field,7/1/2009,0,0,0,250,250,carinata,Uzbek,Matador,,Matador WMA,Motley,34.06428,-100.86489,ramosissima x chinensis,J. DeLoach and TAMU A. Knutson and NRCS-Gillespie,Y,Y,DCADE,Michels et al. 2013,Inferring hybridization here from other sites in Matador WMA as reported in Michels et al 2013
DCA,N,TX,2009,Field,?,6/30/2009,0,0,0,100,100,carinata,Uzbek,"Midland, Monohans Draw",,"Midland, Monohans Draw",Midland,31.86912,-102.13378,ramosissima x chinensis,J DeLoach and NRCS-Schimcek,Y,N,N,,Information in table from DeLoach 2010 indicates no establishment
DCA,N?,TX,2009,Field,"USDA-ARS Temple, colorado, and unknown",5/27/2009,1500,0,0,270,1770,carinata,Uzbek,MWMA,,Matador WMA,Cottle,34.15949,-100.37387,ramosissima x chinensis,J. Michels and state people,Y,Y,DCADE,Michels et al. 2013, 
DCA,N,TX,2009,Field,New Mexico,7/16/2007,0,0,0,1900,1900,carinata,Uzbek,Palo Duro Canyon,,Palo Duro Canyon State Park,Randall,34.96515,-101.6714,ramosissima x chinensis,J. Michels and state people,Y,Y,DCADE,Michels et al. 2013,
DCA,N,TX,2009,Field,?,6/30/2009,0,0,0,100,100,carinata,Uzbek,Robert Lee,,"Robert Lee, Lake Spence nearby",Coke,31.88645,-100.49256,ramosissima x chinensis,J DeLoach and NRCS-Sides,Y,N,N,,Information in table from DeLoach 2010 indicates no establishment
DCA,N,TX,2009,Field,Colorado-field,7/1/2009,0,120,0,152,272,carinata,Uzbek,Rotan,,Rotan,Fisher,33.86825,-100.82708,ramosissima x chinensis,A. Knutson,Y,N,N,Knutson et al 2012; Michels et al. 2013,"Knutson et al states that DCA did well in cages and overwintered well in cups, but came out earlier than DE and died in late-winter freezes in Feb-March, no estab."
DCA,N,TX,2009,Field,Colorado-field,7/1/2009,0,120,0,152,272,carinata,Uzbek,Roaring Springs,,Roaring Springs,Motley,33.86000,,ramosissima x chinensis,A. Knutson,Y,N,N,Knutson et al 2012,"Knutson et al states that DCA did well in cages and overwintered well in cups, but came out earlier than DE and died in late-winter freezes in Feb-March, no estab."
DCA,N,TX,2009,Field,?,6/30/2009,0,0,0,100,100,carinata,Uzbek,Salt Draw,,Salt Draw,Reeves,31.27779,-103.60380,ramosissima x chinensis,J DeLoach and NRCS-Huber,Y,N,N,,Information in table from DeLoach 2010 indicates no establishment
DCA,N,TX,2009,Field,?,6/30/2009,0,0,0,100,100,carinata,Uzbek,"Sprayberry, Johnson Draw",,"Sprayberry, Johnson Draw",Midland,31.89605,-101.80335,ramosissima x chinensis,J DeLoach and NRCS-Schimcek,Y,N,N,,Information in table from DeLoach 2010 indicates no establishment
DCR,N,TX,1999,Cage,Albany colony,July or Aug 1999,,,,,,carinulata,Fukang,Lake Seymour,,Private ranch,,,,,,Y,N,N,Carruthers et al. 2008,
DCR,N,TX,2001,Field,Other field site cages,5/2001-8/2001,,,,498,498,carinulata,Fukang,Lake Seymour,,Private ranch,Baylor,33.72143,-99.35115,,,Y,N,N,Carruthers et al. 2008,
DCR,N,TX,2009,Field,"Colorado-Beaver Creek, Arkansa River,  between Pueblo and Canon City",7/2/2009,0,1400,0,125,1525,carinulata,Fukang,Huber site,,Huber site,Hutchinson,,,ramosissima x chinensis,J. Michels and state people,Y,N,N,Michels et al. 2013,
DCR,N,TX,2009,Field,"Colorado-Beaver Creek, Arkansa River,  between Pueblo and Canon City",7/10/2009,0,1614,0,25,1639,carinulata,Fukang,LMNRA,,"Lale Meredith NRA, Plum Creek",Potter,,,ramosissima x chinensis,J. Michels and state people,Y,N,N,Michels et al. 2013,
DE,N,TX,2003,Field,USDA-ARS Temple TX,8/14/2003,0,0,0,200,200,elongata,Crete,Lake Seymour,,Private land at Lake Seymour,Baylor,33.72143,-99.35115,ramosissima x chinensis,J. DeLoach,Y,N,N,, 
DE,N,TX,2003,Field,USDA-ARS Temple TX,8/21/2003,0,500,0,1600,2100,elongata,Crete,Lake Thomas,,Lake Thomas-western end,Borden,32.6,-101.21,ramosissima x chinensis,"J. DeLoach,TAMU",Y,N,N,Hudgeons et al 2007; Michels et al. 2013, 
DE,N,TX,2004,Field,USDA-ARS Temple TX,7/6/2004,0,0,0,2423,2423,elongata,Crete,Big Spring,,"Beals Creek-Higgins ranch, 9 km ESE of Big Spring",Howard,32.25107,-101.38651,ramosissima x chinensis,"J. DeLoach,TAMU",Y,Y,N,Hudgeons et al 2007; Moran et al. 2009;,Best site in TX in late 2000s-defoliation and dispersal over many km
DE,N,TX,2004,Field,Kingsville field cages ,6/28/2004,0,0,0,1510,1510,elongata,Crete,Kingsville,,"Kingsville-semi-saline mudflat near Baffin Bay, South Texas",Kenedy,27.25,-97.48,ramosissima x chinensis x canariensis x gallica,P. Moran,Y,N,N,Not published,Reared in cages at site
DE,N,TX,2004,Field,USDA-ARS Temple TX,7/21/2004,0,0,0,1080,1080,elongata,Crete,Lake Thomas,,Lake Thomas-western end,Borden,,,ramosissima x chinensis,"J. DeLoach,TAMU",Y,N,N,Hudgeons et al 2007,
DE,N,TX,2004,Field,Colorado-BOR,4/21/2004,2000,0,0,0,2000,elongata,Posidi,LMNRA,,Plum Creek LMNRA,Potter,35.45,,ramosissima x chinensis,J. Michels and state people,Y,N,N,Michels et al. 2013,"2004 through 2007-DE from Posidi released here with source from Colorado (BOR or Palisades) or Bushland, TX lab colonies or field cages at the labs. No success."
DE,N,TX,2005,Cage,USDA-ARS Temple TX,7/31/2005,0,0,0,200,200,elongata,Crete,Kingsville,,"Kingsville-semi-saline mudflat near Baffin Bay, South Texas",Kenedy,27.25,-97.48,ramosissima x chinensis x canariensis x gallica,P. Moran,Y,N,N,Moran et al 2009,Confident that in 2005 D. elongata and D. sublineata beetles were pure
DE,N,TX,2005,Field,Colorado-Palisade,6/30/2005,0,0,0,150,150,elongata,Posidi,LMNRA,,Plum Creek LMNRA,Potter,35.45,,ramosissima x chinensis,J. Michels and state people,Y,N,N,Michels et al. 2013,"2004 through 2007-DE from Posidi released here with source from Colorado (BOR or Palisades) or Bushland, TX lab colonies or field cages at the labs. No success."
DE,N,TX,2006,Field,"Big Spring, TX",7/5/2006,0,75,0,200,275,elongata,Crete,Imperial,,"Imperial, on Pecos River",Pecos,31.26657,-102.84326,ramosissima x chinensis,M. Donet (NRCS),Y,Y,N,Muegge 2012,Based only on JTracy map of 2010 indicates DE strongly established. Hybrids with DS possible. But Muegge 2012 Conf Proc indicates Crete beetles all gone by late 2011 at all Pecos River sites
DE,N,TX,2006,Field,"Bushland, TX cages",8/31/2006,0,0,0,340,340,elongata,Posidi,LMNRA,,Plum Creek LMNRA,Potter,35.45,,ramosissima x chinensis,J. Michels and state people,Y,N,N,Michels et al. 2013,"2004 through 2007-DE from Posidi released here with source from Colorado (BOR or Palisades) or Bushland, TX lab colonies or field cages at the labs. No success."
DE,N,TX,2006,Field,USDA-ARS Temple TX,7/5/2006,0,0,0,375,375,elongata,Crete,Pecos,,"Town of Pecos, Pecos River",Reeves,,,ramosissima x chinensis,M. Muegge,Y,N,N,"Moran et al 2009, Knutson and Muegge 2010, 2011; Muegge 2012","Based only on JTracy map of 2010 indicates DE strongly established, DS weakly established. Therefore infer hybridization. But Muegge 2012 Conf Proc indicates all Crete beetles gone from Pecos River sites by late 2011"
DE,N,TX,2006,Field,"USDA-ARS Temple, TX",7/5/2006,?,?,?,?,0,elongata,Crete,Pecos R. Reeves Co,,"Zeman Ranch, on Pecos River, Reeves Co",Reeves,,,ramosissima x chinensis,M. Muegge,Y,Y,N,Muegge 2012,Strongly established in 2010. Then disappeared along with other Pecos River sites by late 2011. Severe winter of 2010-2011 possible cause.
DE,N,TX,2007,Field,"Big Spring, TX",6/30/2007,0,0,0,200,200,elongata,Crete,Balmorhea,,Balmorhea,Reeves,30.97824,-103.72918,ramosissima x chinensis,J DeLoach and NRCS-Donet,Y,N,N,,
DE,N,TX,2007,Field,"Big Spring, TX",6/30/2007,0,0,0,23200,23200,elongata,Crete,Candelaria,,"Private ranch, Candelaria",Presidio,30.12745,-104.67786,ramosissima x chinensis,J DeLoach and NRCS-Donet,Y,Y,DSDE,,"Table from DeLoach 2010 indicates big addition of 22,000 DE in 2009. Inferring hybridization from knowledge of dispersal of DS westward through here after 2010"
DE,N,TX,2007,Field,"Big Spring, TX",?2007,,,,,,elongata,Crete,Indian Hot Springs,,Indian Hot Springs,Hudspeth,,,ramosissima x chinensis,TAMU A. Knutson and M. Muegge,Y,N,N,,"Unpubl. MS of DeLoach et al CDRI Proceedings says flood washed away cage year of release. This is very remote area along Rio Grande, 100 km upstream from Candelaria. Proceedings of the TX/NM/Mexico Saltcedar Biocontrol Consortium Meeting of Oct 2012 froom CRtizi says defol presumably from D. sublineata was already beyond this site and within 40 km or 12 mi to the south of of El Paso"
DE,N,TX,2007,Field,"Bushland, TX cages",5/1/2007,0,0,0,130,130,elongata,Posidi,LMNRA,,Plum Creek LMNRA,Potter,35.45,,ramosissima x chinensis,J. Michels and state people,Y,N,N,Michels et al. 2013,"2004 through 2007-DE from Posidi released here with source from Colorado (BOR or Palisades) or Bushland, TX lab colonies or field cages at the labs. No success."
DE,N,TX,2008,Field,"Big Spring, TX",7/31/2008,10,230,0,172,412,elongata,Crete,Lake Thomas,,Lake Thomas-western end,Borden,32.61,,ramosissima x chinensis,A. Knutson,Y,Y,N,Knutson and Muegge 2010; Knutson et al 2012; Michels et al. 2013,All papers mention establishment
DE,N,TX,2008,Field,"Big Spring, TX",7/31/2008,10,230,0,172,412,elongata,Crete,Sweetwater,,Sweetwater,Fisher,32.54,,ramosissima x chinensis,A. Knutson,Y,Y,N,Michels et al. 2013,"Also mentions Tahoka, Lynn County"
DE,N,TX,2008,Field,"Big Spring, TX",7/31/2008,10,230,0,172,412,elongata,Crete,White River Lake,,"White River Lake, SE of Crosbyton",Crosby,33.48,,ramosissima x chinensis,A. Knutson,Y,Y,N,Knutson et al. 2012; Michels et al. 2013,There could be DCADE hybrids in this area based on Michels et al 2013 data
DE,N,TX,2009,Field,"Big Spring, TX",?,?,?,?,?,,elongata,Crete,Santa Elena Canyon,,"BBNP, Santa Elena Canyon, on Rio Grande, west side of park",Brewster,,,ramosissima x chinensis,J DeLoach and TAMU-M. Muegge and NPS-J. Sirotnak,Y,Y,Y?,Knutson and Muegge 2010,"P.Moran worked at this site in 2009-2010 and observed widespread defoliation by the DE beetle. At some point in 2012 or later, the DS beetle overran this site and became dominant-pers. comment from J. Tracy"
DE,N,TX,2009,Field,"Big Spring, TX",5/31/2009,0,0,0,600,600,elongata,Crete,"Ballinger, Lake Ivie",,"Ballinger, Lake Ivie",Concho/Coleman,31.51643,-99.65372,ramosissima x chinensis,J. DeLoach and CRWMD,Y,N,N,Knutson and Muegge 2010,Information in table from DeLoach 2010 indicates weak establishment. Since Muegge released DS here in 2011 assuming DE died out in 2010-2011
DE,N,TX,2009,Field,"Big Spring, TX",7/31/2009,,,,,,elongata,Crete,Lake Spence,,Lake Spence on TX Colorado River,Coke,,,ramosissima x chinensis,A. Knutson and NRCS county office,Y,N,N,Knutson and Muegge 2010,
DE,N,TX,2009,Field,"Big Spring, TX",4/22/2009,0,67,0,117,184,elongata,Crete,Sweetwater,,Sweetwater,Fisher,,,ramosissima x chinensis,A. Knutson,Y,Y,N,Michels et al. 2013,"Also mentions Tahoka, Lynn County"
DE,N,TX,2009,Field,"Big Spring, TX",7/31/2009,,,,,,elongata,Crete,Tobacco Creek,,Tobacco Creek,Borden,,,ramosissima x chinensis,A. Knutson and NRCS county office,Y,N,N,Knutson and Muegge 2010,
DE,N,TX,2009,Field,"Big Spring, TX",7/31/2009,,,,,,elongata,Crete,Sulphur Springs,,Suphur Springs,Martin,,,ramosissima x chinensis,A. Knutson and NRCS county office,Y,Y,N,Knutson and Muegge 2010,"There is another Sulphur Springs in far NE TX, assume not the same one"
DE,N,TX,2009,Field,"Big Spring, TX",4/22/2009,0,67,0,117,184,elongata,Crete,White River Lake,,"White River Lake, SE of Crosbyton",Crosby, ,,ramosissima x chinensis,A. Knutson,Y,Y,N?,Knutson and Muegge 2010; Michels et al. 2013,There could be DCADE hybrids in this area
DE,N,TX,2009,Field,"Big Spring, TX",7/31/2009,,,,,,elongata,Crete,Gillespie,,Gillespie,Mitchell,,,ramosissima x chinensis,A. Knutson and NRCS county office,Y,Y,N,Knutson and Muegge 2010,"No such town, this might be landowner name"
DE,N,TX,2009,Field,"Big Spring, TX",7/31/2009,,,,,,elongata,Crete,Wright,,Wright,Mitchell,,,ramosissima x chinensis,A. Knutson and NRCS county office,Y,Y,N,Knutson and Muegge 2010,
DE,N,TX,2009,Field,"Big Spring, TX",7/31/2009,,,,,,elongata,Crete,Twin Buttes,,"Twin Buttes Reservoir, probably",Tom Green,,,ramosissima x chinensis,A. Knutson and NRCS county office,Y,N,N,Knutson and Muegge 2010,"looked good  for one year, then herbicide treatment wiped out population"
DE,N,TX,2009,Field,"Big Spring, TX",7/31/2009,,,,,,elongata,Crete,Bradberry,,Bradberry,Mitchell,,,ramosissima x chinensis,A. Knutson and NRCS county office,Y,Y,N,Knutson and Muegge 2010,"Not a town name, might be landowner, street, or property name"
DE,N,TX,2009,Field,"Big Spring, TX",7/31/2009,,,,,,elongata,Crete,Guthrie,,Guthrie,King,33.621341,-100.8322,ramosissima x chinensis,A. Knutson and NRCS county office,Y,Y,N,Knutson and Muegge 2010,
DE,N,TX,2009,Field,"Big Spring, TX",7/31/2009,,,,,,elongata,Crete,Cooper,,Cooper,Pecos,,,ramosissima x chinensis,A. Knutson and NRCS county office,Y,Y,DEDS,Knutson and Muegge 2010,"Not a town name, could be ranch or other location. Stated as Crete/Tunisian"
DE,N,TX,2009,Field,"Big Spring, TX",7/31/2009,,,,,,elongata,Crete,Leon Springs,,Leon Springs,Pecos,,,ramosissima x chinensis,A. Knutson and M. Muegge,Y,N,N,Knutson and Muegge 2010,
DE,N,TX,2010,Field,"Big Spring, TX",7/31/2010,0,0,0,16000,16000,elongata,Crete,Jayton,,Jayton,Kent,33.2493,-100.5748,ramosissima x chinensis,A. Knutson and NRCS county office,Y,N,N,Knutson and Muegge 2010,GPS is just the town center
DE,N,TX,2010,Field,"Big Spring, TX",7/31/2010,0,0,0,16000,16000,elongata,Crete,Matador,,Matador-not same as WMA?,Motley,34.013996,-100.821646,ramosissima x chinensis,A. Knutson and NRCS county office,Y,N,N,Knutson and Muegge 2010,GPS is just the town center
DE,N,TX,2010,Field,"Big Spring, TX",7/31/2010,0,0,0,16000,16000,elongata,Crete,Post,,Post,Garza,33.191789,-101.380432,ramosissima x chinensis,A. Knutson and NRCS county office,Y,N,N,Knutson and Muegge 2010,GPS is just the town center
DE,N,TX,2010,Field,"Big Spring, TX",7/31/2010,0,0,0,16000,16000,elongata,Crete,?,,?,Terry,,,ramosissima x chinensis,A. Knutson and NRCS county office,Y,N?,N,Knutson and Muegge 2010,
